episode,worker_id,total_steps,global_reward,avg_speed,avg_waiting_time,throughput,loss,epsilon,duration_s,had_obstacle,obstacle_edges,obstacle_count,vehicles_teleported,learning_rate
198,1,360,-209.0661,21.77,4.2,784,0.126431,0.775,18.7,1,SRC_HTM_W_N01,1,0,7.56e-05
199,3,360,-587.37,9.05,5.3,3390,0.169938,0.325,210.5,0,,0,0,7.53e-05
200,4,360,-573.2525,9.22,3.28,3344,0.112918,0.1,227.5,0,,0,0,7.5e-05
201,2,360,-351.435,14.63,2.6,3885,0.099471,0.55,200.6,1,SRC_NH_N05,1,0,7.47e-05
202,0,360,-559.7615,15.18,4.3,3875,0.11023,1.0,190.6,0,,0,0,7.44e-05
203,1,360,-517.3118,9.49,4.98,3781,0.099383,0.775,211.0,0,,0,0,7.41e-05
204,3,360,-571.8179,11.12,4.2,3519,0.112593,0.325,209.5,0,,0,0,7.38e-05
205,4,360,-479.8591,12.08,2.64,3151,0.075662,0.1,188.1,1,EXT_N_N02_in,1,0,7.35e-05
206,2,360,-479.9483,12.94,4.67,3730,0.23464,0.55,203.3,0,,0,0,7.32e-05
207,0,360,-418.8375,12.92,3.55,3573,0.114129,1.0,155.4,1,EXT_S_N08_in,1,0,7.29e-05
208,3,360,-671.8545,8.83,4.06,2695,0.315765,0.325,159.4,1,"EXT_S_N08_in,SRC_LDT_S_N05,EXT_N_N02_in",3,0,7.25e-05
209,1,360,-1629.5296,8.96,16.37,3078,0.170423,0.775,192.0,1,"EXT_N_N03_in,SRC_HTM_W_N01,SRC_PH_N06",3,1,7.22e-05
210,4,360,-579.6001,8.9,5.53,3333,0.111179,0.1,177.1,0,,0,0,7.19e-05
211,2,360,-405.4457,12.21,2.98,3730,0.428199,0.55,158.9,0,,0,0,7.16e-05
212,0,360,-458.5181,11.87,3.42,4066,0.130089,1.0,123.7,0,,0,0,7.13e-05
213,3,360,-355.7719,10.39,4.38,3592,0.145969,0.325,111.2,0,,0,0,7.1e-05
214,1,360,-550.8638,9.35,3.23,3742,0.137226,0.775,112.4,0,,0,0,7.07e-05
215,4,360,-705.8467,10.79,3.93,3381,0.107632,0.1,119.1,0,,0,0,7.03e-05
216,2,360,-509.1024,10.41,3.01,3601,0.14013,0.55,115.3,0,,0,0,7e-05
217,0,360,-707.4652,14.43,2.91,3880,0.136538,1.0,111.1,0,,0,0,6.97e-05
218,1,360,-519.2051,15.04,3.58,3923,0.117611,0.775,109.8,0,,0,0,6.94e-05
219,3,360,-1114.7731,8.73,11.02,3373,0.118438,0.325,124.4,1,SRC_HN_N05,1,0,6.91e-05
220,2,360,-428.6189,10.67,5.66,3863,0.188021,0.55,108.6,0,,0,0,6.87e-05
221,4,360,-689.7036,8.09,3.94,3444,0.162155,0.1,122.7,0,,0,0,6.84e-05
222,0,360,-494.9769,15.37,2.34,4011,0.177833,1.0,104.3,0,,0,0,6.81e-05
