episode,total_steps,global_reward,avg_speed,avg_waiting_time,throughput,loss,epsilon,duration_s
240,173520,-163.0,22.97,1.5,1,0.11459,0.05,14.1
241,174240,-226.0,25.33,3.45,2,0.119515,0.05,15.4
242,174960,-249.0,28.02,0.09,4,0.110229,0.05,15.4
243,175680,-267.0,34.14,0.65,0,0.110766,0.05,15.4
244,176400,-163.0,30.56,0.41,2,0.113714,0.05,14.4
245,177120,-243.0,30.67,0.36,0,0.111511,0.05,15.5
246,177840,-153.0,31.64,0.32,3,0.112657,0.05,14.3
247,178560,-242.0,30.74,0.21,4,0.112987,0.05,15.7
248,179280,-160.0,33.79,0.0,1,0.114447,0.05,14.3
249,180000,-145.0,34.92,0.0,0,0.10774,0.05,14.3
250,180720,-285.0,33.01,0.52,3,0.108275,0.05,15.7
251,181440,-255.0,30.2,0.08,2,0.106067,0.05,15.6
252,182160,-290.0,22.96,0.31,3,0.108653,0.05,15.8
253,182880,-146.0,30.2,0.13,0,0.115335,0.05,14.3
254,183600,-266.0,27.99,0.28,1,0.123066,0.05,15.6
255,184320,-162.0,30.71,0.27,1,0.119188,0.05,14.3
256,185040,-277.0,29.7,0.0,5,0.116695,0.05,15.5
257,185760,-9.0,27.72,1.0,1,0.115198,0.05,12.0
258,186480,-261.0,30.01,0.93,1,0.116876,0.05,15.6
259,187200,-9.0,34.39,0.0,1,0.114689,0.05,11.9
260,187920,-156.0,31.76,0.0,2,0.103968,0.05,14.3
261,188640,-144.0,29.95,0.05,1,0.09761,0.05,15.2
262,189360,-179.0,31.95,0.4,0,0.101995,0.05,14.4
263,190080,-258.0,21.61,0.69,5,0.096731,0.05,15.4
264,190800,-148.0,31.46,0.0,1,0.100599,0.05,14.4
265,191520,-161.0,34.4,0.0,2,0.097909,0.05,14.4
266,192240,-163.0,29.9,0.27,2,0.103187,0.05,14.2
267,192960,-134.0,30.36,0.38,0,0.100612,0.05,14.3
268,193680,-163.0,25.24,0.91,1,0.102966,0.05,14.4
269,194400,-219.0,23.24,3.14,2,0.099898,0.05,15.4
270,195120,-210.0,29.6,0.48,2,0.096516,0.05,15.6
271,195840,-149.0,31.97,0.0,3,0.094163,0.05,14.5
272,196560,-143.0,30.19,0.52,0,0.092037,0.05,14.3
273,197280,-149.0,31.0,0.54,0,0.091522,0.05,14.2
274,198000,-266.0,30.37,1.84,0,0.097923,0.05,15.7
275,198720,-270.0,30.72,0.46,4,0.097974,0.05,15.5
276,199440,-242.0,21.76,2.63,3,0.09687,0.05,15.6
277,200160,-162.0,33.97,0.21,2,0.102183,0.05,14.2
278,200880,-241.0,24.8,0.16,3,0.103608,0.05,15.5
279,201600,-147.0,36.04,0.0,0,0.101543,0.05,14.2
280,202320,-275.0,30.0,0.48,3,0.102137,0.05,15.7
281,203040,-297.0,28.24,1.28,0,0.105499,0.05,15.4
282,203760,-255.0,23.7,1.4,3,0.108472,0.05,15.7
283,204480,-228.0,27.8,0.37,2,0.109745,0.05,15.3
284,205200,-246.0,28.38,0.36,4,0.109023,0.05,15.4
285,205920,-22.0,33.88,0.0,1,0.103249,0.05,11.9
286,206640,-159.0,25.76,1.32,1,0.100379,0.05,14.1
287,207360,-248.0,31.7,0.39,1,0.106253,0.05,15.7
288,208080,-168.0,26.62,0.1,4,0.108189,0.05,14.3
289,208800,-149.0,30.19,0.84,0,0.105501,0.05,14.4
290,209520,-257.0,29.73,0.96,2,0.11354,0.05,15.6
291,210240,-9.0,30.23,0.11,1,0.11075,0.05,11.9
292,210960,-284.0,25.13,2.65,2,0.106858,0.05,15.6
293,211680,-216.0,20.65,5.71,4,0.113973,0.05,15.6
294,212400,-262.0,26.33,0.29,0,0.108247,0.05,15.6
295,213120,-154.0,29.2,0.05,2,0.11132,0.05,14.4
296,213840,-259.0,33.52,0.0,4,0.112364,0.05,15.6
297,214560,-148.0,24.49,0.86,1,0.109726,0.05,14.3
298,215280,-239.0,28.32,0.44,2,0.107635,0.05,15.5
299,216000,-122.0,31.24,0.09,3,0.111977,0.05,14.3
300,216720,-286.0,20.81,5.33,5,0.111718,0.05,15.7
301,217440,-9.0,34.92,0.0,1,0.107492,0.05,11.9
302,218160,-16.0,29.35,1.78,2,0.106775,0.05,11.9
303,218880,-142.0,31.66,0.35,2,0.099679,0.05,14.3
304,219600,-14.0,30.72,0.57,2,0.096238,0.05,11.8
305,220320,-154.0,31.14,0.33,0,0.094382,0.05,14.4
306,221040,-191.0,29.01,0.74,0,0.095871,0.05,14.4
307,221760,-240.0,24.19,2.64,3,0.096186,0.05,15.5
308,222480,-269.0,26.97,1.62,3,0.100824,0.05,15.4
309,223200,-147.0,33.7,0.28,0,0.10066,0.05,14.3
